current_frame,Angle1,Angle2,Angle3,Angle4
0,172.08,174.81,102.82,108.27
1,170.12,176.2,102.77,109.79
2,170.24,176.26,104.17,103.95
3,172.27,178.01,97.54,104.02
4,168.75,178.11,95.72,104.02
5,172.4,178.01,98.9,104.09
6,172.22,177.93,97.64,103.12
7,170.32,177.97,97.57,103.1
8,174.13,178.01,99.37,102.89
9,174.34,178.09,99.49,108.39
10,175.99,178.07,99.53,107.18
11,176.02,178.0,104.44,107.14
12,176.16,178.09,100.67,107.23
13,174.36,178.14,102.89,114.63
14,174.19,178.17,97.75,109.63
15,176.1,178.04,99.6,106.04
16,176.15,178.2,104.7,109.51
17,176.29,176.61,99.52,104.39
18,176.17,179.76,96.67,109.54
19,175.82,178.15,97.3,109.52
20,176.09,179.81,102.63,106.03
21,176.11,176.42,97.63,107.92
22,178.1,179.8,99.3,105.92
23,178.11,179.78,95.32,105.96
24,174.58,179.81,99.4,105.9
25,178.16,179.81,95.93,105.84
26,176.35,176.54,93.52,104.13
27,179.97,176.47,100.08,104.05
28,178.09,176.47,93.48,104.14
29,178.12,176.54,93.47,104.22
30,178.13,178.08,99.26,104.15
31,179.91,177.98,95.77,104.02
32,176.04,174.55,96.42,102.34
33,176.07,174.53,96.51,102.4
34,174.25,169.51,93.66,100.6
35,174.07,162.29,90.26,97.08
36,172.27,162.65,91.67,97.52
37,175.93,162.54,91.53,100.63
38,174.15,160.3,89.4,98.76
39,174.21,160.19,89.81,98.81
40,172.61,160.46,89.95,102.25
41,170.43,159.13,102.12,99.06
42,170.39,157.22,108.6,96.32
43,172.4,155.95,108.57,96.66
44,172.48,157.22,91.66,96.26
45,173.88,155.6,102.52,96.32
46,172.13,157.63,110.29,92.96
47,173.94,159.18,110.6,99.38
48,175.74,159.55,118.07,99.23
49,175.54,162.46,118.07,104.06
50,173.83,160.82,114.2,101.09
51,172.13,161.2,112.25,97.13
52,172.37,164.51,108.41,95.33
53,173.82,162.91,112.18,97.32
54,175.74,166.0,116.36,98.94
55,175.83,166.18,110.34,98.89
56,175.96,166.11,106.07,99.03
57,174.32,167.74,112.47,99.21
58,174.32,167.78,105.9,98.79
59,175.94,167.9,107.72,99.17
60,177.89,166.44,93.84,95.09
61,176.16,166.28,93.81,98.81
62,175.89,167.88,105.78,98.86
63,177.81,169.67,118.54,107.69
64,176.12,168.03,114.98,104.9
65,177.86,167.97,114.26,104.91
66,176.02,169.63,105.97,99.11
67,177.85,169.62,104.62,101.6
68,176.1,166.47,106.23,100.28
69,176.07,166.58,110.42,96.81
70,177.98,169.66,93.95,99.07
71,176.28,169.81,97.58,99.18
72,176.23,173.05,97.45,107.87
73,176.24,171.42,102.79,102.82
74,177.92,173.04,102.75,107.94
75,176.32,169.83,102.96,103.08
76,176.08,168.04,116.75,106.28
77,175.99,169.7,120.7,109.64
78,175.99,169.62,114.46,109.35
79,179.42,172.98,104.42,104.32
80,176.01,169.62,95.49,106.29
81,177.96,173.05,104.46,108.06
82,177.89,172.83,104.49,104.7
83,176.14,171.42,102.64,104.93
84,174.29,169.72,90.81,99.82
85,176.12,169.57,91.41,102.93
86,177.95,172.89,93.68,101.32
87,177.89,172.88,93.77,102.49
88,174.44,168.11,99.67,106.47
89,176.05,172.86,96.42,107.83
90,173.88,172.86,108.11,107.82
91,177.44,172.8,114.38,107.87
92,177.82,169.54,116.3,109.08
93,179.42,171.19,109.45,106.2
94,177.66,169.78,101.29,99.99
95,176.01,171.13,96.4,96.28
96,175.91,171.11,105.68,99.68
97,176.08,171.06,105.85,102.86
98,177.87,169.58,93.67,99.68
99,179.45,171.17,104.39,103.01
100,176.06,171.1,97.4,99.74
101,176.07,171.42,112.24,103.27
102,174.23,169.41,104.11,99.64
103,177.51,169.49,101.17,100.76
104,177.3,171.1,120.38,107.53
105,178.68,171.1,113.98,102.99
106,177.35,169.44,118.0,106.16
