current_frame,Angle1,Angle2,Angle3,Angle4
0,174.84,178.22,100.96,95.21
1,178.18,178.35,99.35,95.4
2,178.68,177.89,103.07,97.49
3,178.68,178.01,99.12,101.62
4,178.76,179.94,95.98,95.16
5,178.52,178.58,93.61,90.06
6,178.61,179.94,96.06,95.16
7,178.63,179.93,99.09,99.36
8,178.72,179.81,96.7,95.11
9,178.73,179.9,99.07,90.13
10,178.69,177.89,102.17,88.1
11,175.26,177.87,103.94,93.48
12,178.49,179.95,97.05,90.14
13,178.64,179.98,99.12,99.38
14,178.18,178.38,97.03,90.07
15,175.16,178.53,98.76,100.18
16,175.32,179.97,98.55,95.13
17,175.37,178.02,98.52,101.07
18,175.26,177.98,98.52,97.5
19,178.43,176.37,97.01,98.2
20,178.64,177.78,96.66,104.82
21,175.15,177.79,95.39,104.78
22,175.27,179.95,98.49,106.88
23,178.66,179.55,98.99,101.02
24,178.43,178.45,100.39,99.47
25,178.66,179.89,100.01,99.44
26,178.24,176.35,99.31,93.42
27,175.31,179.95,103.87,113.2
28,174.88,176.2,104.11,118.56
29,175.27,178.29,101.81,107.75
30,175.31,176.57,95.26,93.27
31,175.2,174.83,97.86,93.32
32,175.27,179.63,98.6,93.44
33,175.17,178.39,97.95,93.23
34,175.55,179.7,97.71,93.14
35,175.29,177.91,97.79,103.89
36,175.2,178.48,98.6,95.37
37,175.26,176.67,97.8,95.33
38,173.45,179.6,103.72,93.39
39,173.44,179.55,100.28,97.19
40,175.59,177.86,101.8,101.74
41,175.6,179.57,100.9,93.29
42,175.29,178.45,100.82,95.16
43,175.17,176.78,101.04,93.16
44,175.21,178.42,97.85,95.12
45,175.31,178.37,97.77,99.29
46,175.28,178.39,100.88,99.41
47,175.33,179.62,100.92,101.78
48,173.26,178.74,106.74,98.01
49,175.17,179.48,101.02,91.41
50,175.29,179.61,97.81,93.25
51,178.25,179.73,99.35,93.06
52,174.81,179.75,101.13,93.73
53,176.58,179.7,105.02,98.31
54,178.6,179.59,99.2,93.21
55,178.36,178.41,102.49,95.15
56,175.1,178.46,104.14,110.77
57,171.86,178.29,102.68,109.64
58,171.87,178.5,108.59,107.09
