current_frame,Angle1,Angle2,Angle3,Angle4
0,178.06,174.53,128.36,124.19
1,178.06,174.53,128.36,124.19
2,176.39,174.55,128.49,124.35
3,178.12,172.5,128.49,124.31
4,178.12,176.25,128.64,127.25
5,178.16,174.66,131.73,124.28
6,178.11,174.54,131.63,127.25
7,176.36,174.61,131.65,127.16
8,178.15,176.25,128.59,124.06
9,178.21,174.61,131.9,120.94
10,179.99,176.33,133.14,120.87
11,179.89,176.27,125.08,124.15
12,178.12,174.49,128.57,127.19
13,176.32,174.37,126.81,127.04
14,176.41,176.29,125.04,120.8
15,174.85,176.25,128.63,120.77
16,176.56,176.35,128.76,124.09
17,176.87,174.57,133.36,124.11
18,175.31,174.67,133.4,124.18
19,176.78,174.68,125.1,124.05
20,178.41,174.64,131.64,124.08
21,173.33,174.6,106.76,120.68
22,179.5,173.03,92.31,120.79
23,177.28,174.78,97.58,120.68
24,175.36,176.34,77.02,124.13
25,177.31,174.74,87.32,124.04
26,173.69,178.26,121.23,128.52
27,173.86,174.79,112.11,124.06
28,179.04,173.24,106.41,120.58
29,173.66,176.62,97.11,122.72
30,174.45,173.04,118.88,123.86
31,177.26,176.68,106.14,122.63
32,178.97,173.11,123.28,124.08
33,178.37,176.7,128.53,126.02
34,173.68,173.11,131.42,124.15
35,173.7,173.19,128.63,124.0
36,173.14,173.08,126.81,124.07
37,172.67,174.69,133.54,124.1
38,177.32,178.29,133.7,126.09
39,172.27,176.41,128.65,124.09
40,173.16,176.65,106.61,122.65
41,170.3,174.76,105.46,123.99
42,173.93,175.22,113.91,122.6
43,177.1,176.75,107.4,122.6
44,176.65,178.31,114.61,126.02
45,171.52,178.16,121.09,122.68
46,173.45,178.24,122.87,126.0
47,173.35,176.65,127.7,126.02
48,170.19,174.67,127.97,124.12
49,176.69,175.01,134.77,125.96
50,176.5,173.38,134.74,126.07
51,175.43,176.7,136.72,125.95
52,173.35,176.58,133.47,125.98
53,175.02,176.62,130.62,126.02
54,173.39,176.71,128.74,125.94
55,175.26,178.25,130.76,126.03
56,175.12,176.46,130.69,126.03
57,173.19,176.51,136.77,126.07
58,176.39,174.92,126.87,126.12
59,171.74,175.09,131.42,125.98
60,174.77,173.02,124.54,124.09
61,176.88,178.22,129.79,125.95
62,174.87,169.37,130.68,124.11
63,171.49,176.58,128.62,125.87
64,171.45,176.43,125.9,125.83
65,174.92,176.7,131.37,126.03
66,173.41,176.55,133.68,125.94
67,176.77,176.6,128.15,125.99
68,176.55,174.76,137.06,129.09
69,179.14,176.66,128.76,122.58
70,177.28,174.83,132.65,122.58
71,178.52,174.93,135.33,122.65
72,174.9,174.69,133.94,122.56
73,174.59,174.65,132.0,122.53
74,172.66,174.88,130.18,122.7
75,174.68,175.05,129.27,125.92
76,178.54,175.07,133.87,125.9
77,178.53,174.85,133.97,122.59
78,174.99,174.93,134.23,122.64
79,172.95,176.51,133.78,122.68
80,177.47,178.92,137.92,124.72
81,178.3,178.37,134.27,127.87
82,179.51,178.29,133.29,125.94
83,176.63,174.91,132.09,125.98
84,178.98,174.89,139.15,125.94
85,177.04,176.59,136.0,126.03
86,179.24,178.61,139.42,127.93
87,179.07,175.1,132.85,122.8
88,174.89,178.43,133.94,127.88
89,171.12,172.9,131.87,122.63
90,172.98,171.19,131.41,128.33
91,171.21,169.29,128.62,120.64
92,167.68,171.08,130.0,125.94
93,169.47,169.1,128.82,124.16
94,169.45,172.65,129.92,122.61
95,169.36,171.08,130.06,128.25
96,170.77,168.72,134.77,126.5
