current_frame,Angle1,Angle2,Angle3,Angle4
0,176.95,179.95,103.85,106.76
1,176.93,178.97,103.87,103.15
2,170.47,176.78,104.33,104.71
3,168.48,177.69,101.23,106.43
4,165.36,174.31,100.3,107.93
5,166.38,174.47,97.93,103.59
6,165.09,168.62,102,104.6
7,165.06,164.32,99.99,99.33
8,161.78,160.87,101.52,101.87
9,157.6,161.12,97.47,100
10,150.19,159.86,94.46,98.37
11,145.02,156.26,92.89,97.14
12,141.4,155.88,88.33,97.71
13,138.51,145.21,89.22,93
14,130.75,141.8,87.11,94.74
15,124.41,136.02,86.27,94.41
16,121.97,131.53,84.62,90.49
17,119.78,125.27,83.94,89.44
18,115.33,122.01,82.63,89.99
19,109.72,116.03,82.44,90.65
20,101.22,108.13,81.74,88.75
21,99.64,104.14,78.7,86.39
22,95.48,101.72,78.11,85.12
23,91.5,95.74,77.39,85.23
24,89.88,94.75,80.44,87.52
25,90.91,93.06,75.92,85.86
26,87.97,91.52,78.21,89.51
27,86.32,86.96,75.41,86.84
28,84.44,89.84,76.31,87.93
29,86.28,88.33,79.33,89.93
30,83.71,89.4,79.97,88.63
31,82.86,89.92,76.32,83.91
32,83.87,84.91,76.31,85.17
33,81.61,91.81,74.32,83.61
34,88.8,96.52,77.45,90.35
35,89.03,95.97,80.1,83.37
36,91.07,100.15,81.88,86.92
37,93.23,103.37,81.37,86.36
38,97.45,108.91,79.74,89.07
39,101.49,110.34,83.64,86.88
40,103.99,121.27,82.04,86.74
41,111.44,121.46,87.16,91.03
42,116.19,125.66,92.83,95.09
43,127.46,140.95,97.76,101.95
44,135.37,144.91,106.74,100.77
45,142.12,157.02,119.68,107.56
46,164.1,163.06,143.38,121.43
47,179.14,173.24,154.77,135.63
48,174.92,178.84,154.81,83.91
49,172.37,177.71,156.29,151.09
50,174.8,173.81,157.67,154.22
51,177.26,179.57,157.45,145.13
52,177.26,176.75,157.26,134.1
53,179.49,175.03,152.43,132.72
54,179.32,178.7,150.53,142.36
55,177.19,176.54,144.57,153.11
56,178.26,179.05,138.04,140.31
