current_frame,Angle1,Angle2,Angle3,Angle4
0,153.85,160.32,99.85,105.62
1,153.23,160.26,97.99,106.26
2,152.27,158.82,98.5,102.95
3,152.94,157.11,96.45,105.17
4,150.11,159.93,96.11,102.92
5,151.4,159.14,98.14,102.91
6,152.12,156.99,98.91,101.68
7,151.33,158.83,97.64,99.96
8,149.95,157.73,100.18,101.06
9,151.09,161.41,98.3,102.2
10,151.05,162.39,100.32,104.94
11,152.42,161.3,98.25,103.89
12,152.09,160.22,100.32,104.18
13,152.3,160.16,102.19,104.88
14,153.04,155.82,100.33,101.67
15,151.07,159.02,98.71,103.68
16,150.6,160.22,101.32,102.18
17,152.12,160.24,99.49,102.76
18,149.82,157.14,101.13,100.53
19,145.03,159.35,99.15,103.93
20,143.87,152.51,100.25,99.88
21,142.67,158.19,99.54,101.5
22,143.1,150.62,98.21,99.74
23,141.2,151.51,95.02,101.68
24,139.58,153.62,93.79,101.46
25,139.8,149.99,93.52,99.21
26,140.08,149.33,93.25,97.64
27,139.13,148.35,93.92,99.15
28,138.89,147.57,94.08,99.96
29,138.36,147.73,92.09,99.7
30,138.32,146.9,94.17,97.07
31,139.21,144.23,94.35,95.35
32,137.8,147.06,93.53,100.35
33,137.87,146.95,92.09,100.84
34,138.27,146.08,94.09,98.24
35,137.36,145.65,93.48,100.04
36,136.79,143.39,94.1,100.13
37,135.84,141.75,91.55,96.99
38,135.81,144.17,93.46,99.97
39,134.25,141.2,93.45,99.1
40,133.31,141.63,91.46,99.07
41,130.33,142.01,93.17,99.04
42,130.95,138.89,93.16,97.25
43,130.28,138.25,91.16,96.93
44,129.51,136.55,91.34,96.47
45,128.16,129.56,90.89,95.71
46,126.44,128.23,90.03,91.46
47,123.04,124.64,88.93,91.59
48,116.24,120.63,86.1,90.93
49,113.08,116.45,85.7,89.92
50,110.25,113.2,83.22,90.57
51,107.93,113.21,81.66,88.89
52,106.46,111.32,83.28,87.86
53,101.81,109.34,82.38,85.01
54,96.65,109.16,80.13,83.46
55,91.52,101.94,79.34,82.82
56,89.78,99.23,76.38,84.31
57,90.37,93.65,78.02,83.58
58,87.58,88.64,76.83,79.01
59,84.45,85.11,75.85,78.3
60,84.46,86.79,76.73,83.53
61,84.15,88.31,74.51,81.16
62,82.25,88.94,71.14,84.7
63,79.64,87.07,74.65,82.84
64,76.23,86.08,73.87,83.51
65,72.52,83.35,73.11,82.33
66,73.34,81.21,72.48,77.87
67,73.31,80.47,72.47,75.8
68,71.13,82.26,71.77,81.76
69,71.66,80.11,70.29,76.39
70,70.06,82.11,71.01,79.8
71,72.47,83.11,69.02,79.8
72,73.14,85.84,69.56,81.82
73,74.17,86.56,69.54,80.03
74,77.66,88.91,69.59,81.35
75,79.37,88.08,71.04,78.52
76,82.43,94.32,70.93,79.84
77,86.58,93.29,71.64,79.26
78,91.44,93.02,73.77,81.34
79,92.4,101.78,75.61,85.16
80,99.78,105.33,77.27,86.27
81,103.57,108.79,77.77,84.67
82,110.62,115.59,78.53,81.77
83,123.69,121.54,83.24,80.68
84,128.03,137.61,85.99,87.89
85,141.48,143.12,94.87,91.51
86,148.96,149.02,105.18,96.79
87,162.04,167.65,123.64,113.45
88,174.76,175.8,134.14,131.96
89,177.92,177.99,140.37,147.1
90,178.82,178.95,138.15,141.49
91,177.92,178.81,142.35,136.06
92,175.73,180,141.85,138.58
93,174.69,177.79,139.2,143.32
94,172.45,177.77,139.36,142.53
95,170.08,176.75,135.5,140.12
96,170.42,177.65,131.19,150.99
97,170.32,176.76,131.11,141.17
98,168.99,175.56,124.99,136.44
99,168.96,175.49,122.06,137.95
100,167.98,173.28,120.2,133.51
101,170.34,170.97,119.25,133.95
102,168.32,171.31,120.49,130.7
103,169.39,169,122.87,129.56
104,166.1,168.84,120.79,129.45
105,165.98,170,128.76,134.39
106,165.82,170.18,128.91,130.94
107,166.04,171.19,130.65,132.52
108,167.52,168.01,125.93,129.58
109,161.89,168.07,127.42,134.96
110,165.15,167.83,126.91,131.68
111,164.27,167.02,125.25,132.88
112,163.34,166.79,127.58,135.38
113,163.75,167.28,127.17,135.57
114,164.5,167.18,125.92,141.81
115,164.77,169.63,128.32,139.61
116,161.62,165.41,122.75,120.46
117,151.85,155.59,111.68,99.22
118,139.66,145.88,98.67,88.8
119,132.41,144.31,91.11,87.52
120,120.43,142.39,83.67,81.67
121,116.68,134.1,80.95,83.31
122,113.43,125.13,85.59,87.88
123,103.85,116.03,78.69,84.72
124,96.29,109.67,79.5,88.53
125,93.31,105.62,79.83,86.38
126,89.74,99.87,73.55,84.16
127,86.77,93.14,72.35,85.09
128,83.63,89.08,72.49,84.47
129,83.03,90.68,71.28,82.81
130,80.26,84.71,71.4,79.63
131,78.8,81.93,75,81.78
132,76.07,81.9,70.76,79.61
133,72.47,81.92,73.42,80.15
134,72.41,83.84,68.75,83.96
135,70.46,85.48,70.21,85.82
136,70.14,80.1,72.88,83.38
137,68.83,75.84,70.93,80.12
138,68.19,78.14,72.38,81.16
139,63.67,78.54,72.38,82.27
140,62.42,79.5,69.57,79.88
141,63.68,80.4,72.38,84.01
142,63.46,79.23,72.33,82.22
143,62.42,79.6,71.67,89.13
144,62.2,75.45,72.33,81.71
145,62.45,77.1,71.69,81.72
146,65.5,75.45,70.26,82.94
147,64.03,74.32,69,83.59
148,66.75,76.13,69.52,83.56
149,68.52,74.46,70.92,83.08
150,68.38,82.82,70.7,83.43
151,70.83,80.74,74.94,81.87
152,73.88,80.46,72.17,79.64
153,77.59,84.56,73.46,84.58
154,78.16,86.67,74.02,83.48
155,79.48,92.91,74.6,85.13
156,85.17,96.71,77.25,87.33
157,86.64,97.12,78.34,86.96
158,88.97,99.31,79.13,87.55
159,90.81,107.23,81.37,87.97
160,95.17,111.98,78.37,89.01
161,97.69,112.3,78.36,84.71
162,100.88,113.96,79.28,80.38
163,104.52,115.45,77.02,81.96
164,108.87,117.92,80.48,82.46
165,112.48,124.59,83.06,86.01
166,116.4,133.4,84.52,88.27
167,120.19,137.48,85.34,87.56
168,122.89,139.45,86.44,87.97
169,122.66,139.82,84.76,90.64
170,129.08,142.16,89.8,89.9
171,137.92,143.06,90.09,92.08
172,139.44,147.41,92.02,93.16
173,141.53,149.67,91.16,93.57
174,146.68,154.39,96.26,94.58
175,152.96,156.72,95.74,97.87
176,157.21,161.3,97.44,99.01
177,160.3,162.83,98.03,98.69
178,162.74,167.33,100.48,99.39
179,166.09,170.8,101.89,100.49
180,165.94,170.73,99.61,100.29
181,167.13,171.91,102.52,100.37
182,168.23,172,103.16,100.34
183,169.11,174.22,101.26,101.45
184,169.33,175.38,101.41,101.42
185,171.49,175.39,100.84,100.8
186,172.43,177.73,99.53,100.62
187,172.37,177.49,100.68,102.48
188,173.6,178.73,99.66,102.54
189,173.53,177.64,99.52,102.6
