current_frame,Angle1,Angle2,Angle3,Angle4
0,170.48,177.26,112.44,112.12
1,167.52,177.59,110.95,114.26
2,169.14,175.96,110.99,112.39
3,169.13,175.78,110.89,116.32
4,172.13,177.74,114.83,117.67
5,168.77,177.95,113.08,117.77
6,169.18,177.54,110.98,117.58
7,169.14,177.69,111.02,117.81
8,168.76,177.75,113.13,119.79
9,168.71,179.67,113.06,121.91
10,167.48,179.86,111.0,122.0
11,169.12,179.91,110.99,122.18
12,169.21,175.99,108.34,114.3
13,169.19,177.93,108.33,118.38
14,169.52,179.84,111.38,122.04
15,169.13,179.63,110.97,122.09
16,169.23,177.89,111.0,117.76
17,172.06,177.23,112.25,119.53
18,172.53,177.66,110.01,114.19
19,169.26,174.25,108.31,108.71
20,168.82,175.5,110.56,114.05
21,169.16,178.41,110.95,118.61
22,168.79,175.74,110.55,114.24
23,169.2,177.53,110.91,117.51
24,168.91,175.81,110.66,116.41
25,168.85,175.31,110.58,115.28
26,168.85,177.41,107.84,121.54
27,169.17,177.58,108.3,117.68
28,169.22,177.19,108.39,117.25
29,168.75,177.52,110.54,117.55
30,168.76,179.39,110.7,124.92
31,169.28,175.75,110.98,120.69
32,169.25,179.54,110.91,124.96
33,168.74,178.77,110.43,121.66
34,169.29,177.66,108.26,117.53
35,169.59,177.64,105.78,114.37
36,169.24,177.52,108.4,119.68
37,168.82,175.56,107.98,117.35
38,169.18,177.59,108.29,117.68
39,169.21,175.67,108.23,117.68
40,169.28,175.72,108.29,117.64
41,169.23,177.88,108.28,121.99
42,168.85,177.84,110.59,122.14
43,169.15,178.76,110.9,125.08
44,169.21,177.74,110.9,117.91
45,169.13,177.15,108.29,119.51
46,169.17,177.66,108.25,123.01
47,169.19,175.9,108.36,120.75
48,169.23,175.95,110.96,118.03
49,169.18,175.8,111.07,117.64
50,168.88,175.86,113.14,117.7
51,169.22,175.74,110.97,114.22
52,169.18,176.04,111.0,117.8
53,169.14,175.7,110.96,119.71
54,169.19,174.02,111.02,113.91
55,169.21,175.99,111.08,117.81
56,169.22,176.08,110.91,117.81
57,169.53,177.92,111.43,125.29
58,169.14,173.66,110.91,115.52
59,169.1,175.7,113.36,120.65
60,172.06,175.08,112.27,115.14
61,170.76,178.92,112.68,120.03
62,167.13,177.15,113.1,119.99
63,170.37,178.89,112.33,119.77
64,170.39,177.31,114.86,121.26
65,167.08,175.31,113.16,118.84
66,167.05,175.55,107.94,119.91
67,167.41,175.84,110.97,120.25
68,167.05,179.49,110.59,123.03
69,166.97,175.59,109.65,127.3
70,167.03,175.75,110.67,127.59
71,167.02,175.86,110.7,127.73
72,166.86,177.8,110.46,126.47
73,166.77,179.32,107.83,126.36
74,163.44,176.06,106.13,126.33
75,163.85,177.61,109.27,129.53
76,163.42,175.71,108.89,124.57
77,161.6,175.58,108.83,124.48
78,161.53,173.91,108.8,127.52
79,161.39,173.8,108.72,124.97
80,158.49,173.76,104.75,124.8
81,154.48,163.38,102.63,117.02
82,154.42,172.54,102.61,126.19
83,149.23,175.28,102.51,121.4
84,139.35,177.98,97.64,131.98
85,138.83,170.98,97.59,132.02
86,132.44,170.6,93.13,122.73
87,132.37,165.21,90.15,122.71
88,132.23,167.55,89.32,120.84
89,127.07,171.0,87.94,120.95
90,125.35,169.57,94.7,126.49
91,124.55,169.04,95.54,125.61
92,124.41,165.29,93.59,123.84
93,119.6,162.91,89.44,126.05
94,118.14,160.15,89.38,124.85
95,117.09,161.38,89.3,126.54
96,117.05,155.6,85.49,126.38
97,115.19,155.2,90.36,131.39
98,115.67,159.76,95.31,124.69
99,115.06,157.68,89.44,123.92
100,114.53,155.07,94.48,126.05
101,110.15,161.12,94.47,123.79
102,108.96,157.45,89.68,126.88
103,107.02,157.3,90.78,124.8
104,105.76,154.93,90.7,120.82
105,102.57,151.08,89.06,121.64
106,102.48,153.98,86.35,122.55
107,98.37,152.92,84.81,122.44
108,101.22,149.63,83.42,116.63
109,97.04,148.23,83.45,120.32
110,94.3,151.33,82.07,118.98
111,98.24,142.96,81.81,116.42
112,96.99,148.65,77.46,116.85
113,94.22,148.53,76.02,120.83
114,92.82,149.73,79.11,125.72
115,91.48,147.53,79.06,119.1
116,90.04,143.79,73.77,110.35
117,87.01,148.85,75.68,119.36
118,87.0,152.61,75.73,126.25
